Date/Time,Step Count (count),Source
2022-12-24 00:00:00,1868,Zebra|iPhone
2022-12-25 00:00:00,2546,Zebra|iPhone
2022-12-26 00:00:00,5484,Zebra|iPhone
2022-12-27 00:00:00,263,Zebra|iPhone
2022-12-28 00:00:00,1925,Zebra|iPhone
2022-12-29 00:00:00,1867,Zebra|iPhone
2022-12-30 00:00:00,1509,Zebra|iPhone
2022-12-31 00:00:00,2312,Zebra|iPhone
2023-01-01 00:00:00,2298,Zebra|iPhone
2023-01-02 00:00:00,616,Zebra|iPhone
2023-01-03 00:00:00,1381,Zebra|iPhone
2023-01-04 00:00:00,1494,Zebra|iPhone
2023-01-05 00:00:00,2137,Zebra|iPhone
2023-01-06 00:00:00,2233,Zebra|iPhone
2023-01-07 00:00:00,4844,Zebra|iPhone
2023-01-08 00:00:00,834,Zebra|iPhone
2023-01-09 00:00:00,1691,Zebra|iPhone
2023-01-10 00:00:00,5258,Zebra|iPhone
2023-01-11 00:00:00,3878,Zebra|iPhone
2023-01-12 00:00:00,1178,Zebra|iPhone
2023-01-13 00:00:00,4739,Zebra|iPhone
2023-01-14 00:00:00,2506,Zebra|iPhone
2023-01-15 00:00:00,2016,Zebra|iPhone
2023-01-16 00:00:00,1425,Zebra|iPhone
2023-01-17 00:00:00,1344,Zebra|iPhone
2023-01-18 00:00:00,3766,Zebra|iPhone
2023-01-19 00:00:00,4032,Zebra|iPhone
2023-01-20 00:00:00,1163,Zebra|iPhone
2023-01-21 00:00:00,1260,Zebra|iPhone
2023-01-22 00:00:00,1259,Zebra|iPhone
2023-01-23 00:00:00,3615,Zebra|iPhone
2023-01-24 00:00:00,3536,Zebra|iPhone
2023-01-25 00:00:00,1866,Zebra|iPhone
2023-01-26 00:00:00,2679,Zebra|iPhone
2023-01-27 00:00:00,1058,Zebra|iPhone
2023-01-28 00:00:00,1238,Zebra|iPhone
2023-01-29 00:00:00,1880,Zebra|iPhone
2023-01-30 00:00:00,4776,Zebra|iPhone
2023-01-31 00:00:00,2812,Zebra|iPhone
2023-02-01 00:00:00,2516,Zebra|iPhone
2023-02-02 00:00:00,4759,Zebra|iPhone
2023-02-03 00:00:00,3502,Zebra|iPhone
2023-02-04 00:00:00,767,Zebra|iPhone
2023-02-05 00:00:00,922,Zebra|iPhone
2023-02-06 00:00:00,2484,Zebra|iPhone
2023-02-07 00:00:00,2076,Zebra|iPhone
2023-02-08 00:00:00,3145,Zebra|iPhone
2023-02-09 00:00:00,3348,Zebra|iPhone
2023-02-10 00:00:00,2095,Zebra|iPhone
2023-02-11 00:00:00,5817,Zebra|iPhone
2023-02-12 00:00:00,589,Zebra|iPhone
2023-02-13 00:00:00,729,Zebra|iPhone
2023-02-14 00:00:00,167,Zebra|iPhone
2023-02-15 00:00:00,264.87,Zebra|iPhone
2023-02-16 00:00:00,706.13,Zebra|iPhone
2023-02-17 00:00:00,487,Zebra|iPhone
2023-02-18 00:00:00,3648,Zebra|iPhone
2023-02-19 00:00:00,5750,Zebra|iPhone
2023-02-20 00:00:00,5813,Zebra|iPhone
2023-02-21 00:00:00,1500,Zebra|iPhone
2023-02-22 00:00:00,918,Zebra|iPhone
2023-02-23 00:00:00,7130,Zebra|iPhone
2023-02-24 00:00:00,6014,Zebra|iPhone
2023-02-25 00:00:00,2950,Zebra|iPhone
2023-02-26 00:00:00,1023,Zebra|iPhone
2023-02-27 00:00:00,4745,Zebra|iPhone
2023-02-28 00:00:00,4795,Zebra|iPhone
2023-03-01 00:00:00,3946,Zebra|iPhone
2023-03-02 00:00:00,273,Zebra|iPhone
2023-03-03 00:00:00,1361,Zebra|iPhone
2023-03-04 00:00:00,4492,Zebra|iPhone
2023-03-05 00:00:00,1571,Zebra|iPhone
2023-03-06 00:00:00,2103,Zebra|iPhone
2023-03-07 00:00:00,2746,Zebra|iPhone
2023-03-08 00:00:00,3136,Zebra|iPhone
2023-03-09 00:00:00,4621,Zebra|iPhone
2023-03-10 00:00:00,1431,Zebra|iPhone
2023-03-11 00:00:00,1544,Zebra|iPhone
2023-03-12 00:00:00,3534,Zebra|iPhone
2023-03-13 00:00:00,3230,Zebra|iPhone
2023-03-14 00:00:00,931,Zebra|iPhone
2023-03-15 00:00:00,1179,Zebra|iPhone
2023-03-16 00:00:00,3334,Zebra|iPhone
2023-03-17 00:00:00,1107,Zebra|iPhone
2023-03-18 00:00:00,2139,Zebra|iPhone
2023-03-19 00:00:00,3375,Zebra|iPhone
2023-03-20 00:00:00,5913,Zebra|iPhone
2023-03-21 00:00:00,5026,Zebra|iPhone
2023-03-22 00:00:00,4281,Zebra|iPhone
2023-03-23 00:00:00,5852,Zebra|iPhone
2023-03-24 00:00:00,7922,Zebra|iPhone
2023-03-25 00:00:00,10630,Zebra|iPhone
2023-03-26 00:00:00,8125,Zebra|iPhone
2023-03-27 00:00:00,3937,Zebra|iPhone
2023-03-28 00:00:00,2130,Zebra|iPhone
2023-03-29 00:00:00,1441,Zebra|iPhone
2023-03-30 00:00:00,2459,Zebra|iPhone
2023-03-31 00:00:00,2219,Zebra|iPhone
2023-04-01 00:00:00,356,Zebra|iPhone
2023-04-02 00:00:00,977,Zebra|iPhone
2023-04-03 00:00:00,2988,Zebra|iPhone
2023-04-04 00:00:00,2118,Zebra|iPhone
2023-04-05 00:00:00,929.74,Zebra|iPhone
2023-04-06 00:00:00,999,Zebra|iPhone
2023-04-07 00:00:00,4504,Zebra|iPhone
2023-04-08 00:00:00,1346,Zebra|iPhone
2023-04-09 00:00:00,7235,Zebra|iPhone
2023-04-10 00:00:00,2190,Zebra|iPhone
2023-04-11 00:00:00,1944,Zebra|iPhone
2023-04-12 00:00:00,3634,Zebra|iPhone
2023-04-13 00:00:00,1149,Zebra|iPhone
2023-04-14 00:00:00,7113,Zebra|iPhone
2023-04-15 00:00:00,525,Zebra|iPhone
2023-04-16 00:00:00,1634,Zebra|iPhone
2023-04-17 00:00:00,2282,Zebra|iPhone
2023-04-18 00:00:00,1994,Zebra|iPhone
2023-04-19 00:00:00,4354,Zebra|iPhone
2023-04-20 00:00:00,2445,Zebra|iPhone
